n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
414,413,128,111,1.894,0.523306,0.00266236
415,414,128,111,1.583,0.523330,0.00217522
416,415,128,111,1.497,0.523319,0.00188345
417,416,128,111,1.496,0.523303,0.00210832
418,417,128,111,1.492,0.523357,0.00199644
419,418,128,111,1.493,0.523341,0.00256947
420,419,128,111,1.513,0.523382,0.00193762
421,420,128,111,1.504,0.523315,0.00235394
422,421,128,111,1.491,0.523296,0.00217896
423,422,128,111,1.490,0.523269,0.00225910
424,423,128,111,1.484,0.523308,0.00192819
425,424,128,111,1.493,0.523332,0.00220516
426,425,128,111,1.498,0.523263,0.00174774
427,426,128,111,1.562,0.523292,0.00292663
428,427,128,111,1.585,0.523354,0.00302825
429,428,128,111,2.098,0.523330,0.00173676
430,429,128,111,1.519,0.523269,0.00206494
431,430,128,111,1.489,0.523379,0.00358517
432,431,128,111,1.497,0.523452,0.00338657
433,432,128,111,1.464,0.523585,0.00248646
434,433,128,111,1.485,0.523747,0.00354982
435,434,128,111,1.574,0.523767,0.00238422
436,435,128,111,1.501,0.523934,0.00285086
437,436,128,111,1.492,0.524088,0.00353995
438,437,128,111,1.489,0.524221,0.00261493
439,438,128,111,1.496,0.524307,0.00346428
440,439,128,111,1.492,0.524356,0.00201692
441,440,128,111,1.492,0.524350,0.00236152
442,441,128,111,1.494,0.524385,0.00257934
443,442,128,111,1.517,0.524574,0.00260598
444,443,128,111,1.490,0.524501,0.00178892
445,444,128,111,1.500,0.524506,0.00223246
446,445,128,111,1.546,0.524610,0.00279750
447,446,128,111,1.592,0.524505,0.00218739
448,447,128,111,1.706,0.524550,0.00213756
449,448,128,111,1.486,0.524532,0.00198501
450,449,128,111,1.789,0.524548,0.00208245
451,450,128,111,1.499,0.524589,0.00239281
452,451,128,111,1.494,0.524635,0.00172910
453,452,128,111,1.495,0.524662,0.00169252
454,453,128,111,1.501,0.524668,0.00225189
455,454,128,111,1.448,0.524660,0.00199636
456,455,128,111,1.481,0.524756,0.00398853
457,456,128,111,1.494,0.524825,0.00209105
458,457,128,111,1.502,0.524799,0.00173711
459,458,128,111,1.512,0.524765,0.00181516
460,459,128,111,1.493,0.524786,0.00191126
461,460,128,111,1.492,0.524809,0.00205226
462,461,128,111,1.502,0.524736,0.00148560
463,462,128,111,1.490,0.524719,0.00229732
464,463,128,111,1.490,0.524637,0.00160290
465,464,128,111,1.493,0.524640,0.00171000
466,465,128,111,1.500,0.524690,0.00183261
